33834,Sin: Nanatsu no Taizai,-1.0,TV,Other
33362,Starmyu 2nd Season,-1.0,TV,Original
33036,Suki ni Naru Sono Shunkan wo.: Kokuhaku Jikkou Iinkai,-1.0,Movie,Music
33013,Super Lovers OVA,-1.0,OVA,Manga
34086,Tales of Zestiria the X (2017),-1.0,TV,Game
21305,Trick or Alice,-1.0,OVA,Visualnovel
23275,Tsubu★Doll,-1.0,OVA,Original
34019,Tsugumomo,-1.0,TV,Manga
34076,Uchouten Kazoku 2,-1.0,TV,Novel
33064,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,-1.0,OVA,Original
33478,UQ Holder!,-1.0,?,Manga
32924,Urara Meirochou,-1.0,TV,4-komamanga
34467,Yami Shibai 4th Season,-1.0,TV,Original
32615,Youjo Senki,-1.0,TV,Lightnovel
34284,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,-1.0,TV,Original
34445,Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,-1.0,TV,Original
33035,Yuyushiki Special,-1.0,Special,4-komamanga
2238,Fuyu no Semi,7.74,OVA,Manga
8634,Koisuru Boukun,7.59,OVA,Manga
10048,Fuyu no Semi: Tokubetsu Henshuuhan,7.44,OVA,Manga
719,Ai no Kusabi,7.37,OVA,Lightnovel
5774,Seitokaichou ni Chuukoku,7.36,OVA,Manga
3210,Ikoku Irokoi Romantan,7.25,OVA,Manga
15291,Hyakujitsu no Bara: Jinginaki Nikukyuu-hen,7.14,Special,Manga
5902,Hyakujitsu no Bara,7.06,OVA,Manga
3375,Kirepapa.,7.02,OVA,Manga
5719,Sex Pistols,7.0,OVA,Manga
747,Haru wo Daite Ita,6.99,OVA,Manga
5784,Ai no Kusabi (2012),6.97,OVA,Lightnovel
734,Kizuna: Koi no kara Sawagi,6.94,OVA,Manga
2417,Saigo no Door wo Shimero!,6.76,OVA,Manga
9761,Finder Series,6.7,OVA,Manga
1041,Zetsuai 1989,6.69,OVA,Manga
1042,Bronze: Zetsuai Since 1989,6.67,OVA,Manga
2148,Okane ga Nai,6.58,OVA,Manga
746,Papa to Kiss in the Dark,6.47,OVA,Lightnovel
733,Kizuna,6.46,OVA,Manga
30262,Okane ga Nai Specials,6.46,Special,Manga
8339,Kachou no Koi,6.43,OVA,Manga
8577,Aki-Sora: Yume no Naka,6.41,OVA,Manga
5304,Akiba-chan,5.39,TV,Unknown
1949,Mahou no Chocolate,5.39,OVA,Original
3463,A.LI.CE,5.38,Movie,Unknown
12865,Ai wa KAT-TUN,5.38,ONA,Unknown
5025,Dengeki Oshioki Musume Gootaman: Gootaman Tanjou-hen,5.37,OVA,Unknown
31108,Green Dakara x Bakemono no Ko,5.38,ONA,Unknown
1751,Jikuu Bouken Nuumamonjaa,5.37,OVA,Unknown
3882,Seijuuki Cyguard,5.37,OVA,Unknown
13439,Shinpi no Hou,5.37,Movie,Unknown
28531,Ai Tenchi Muyou! Recaps,5.36,Special,Unknown
30947,Kurayami Santa,5.36,TV,Original
15045,Litchi DE Hikari Club,5.36,TV,Manga
14479,Mahoutsukai Nara Miso wo Kue!,5.36,OVA,Lightnovel
14563,Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo,5.36,TV,Unknown
537,Tekken,5.35,OVA,Game
30782,Bikini Warriors,5.34,TV,Other
1455,Makai Tenshou,5.34,OVA,Novel
30850,UFO Gakuen no Himitsu,5.34,Movie,Original
17395,Ark IX,5.33,OVA,Novel
2362,Run=Dim,5.32,TV,Unknown
33113,Scared Rider Xechs,5.32,TV,Visualnovel
33572,Idol Memories,5.31,TV,Original
2796,Afro-Ken,5.3,OVA,Unknown
31244,Makura no Danshi: Sono Ato no Makura no Danshi,5.3,Special,Original
2219,Ryokunohara Meikyuu,5.3,OVA,Manga
31491,Hantsu x Trash,5.29,OVA,Manga
1053,Tokyo Daigaku Monogatari,5.29,OVA,Unknown
10639,Deva Zan,5.28,Special,Unknown
33026,Time Bokan 24,5.28,TV,Original
3306,Aoki Honoo,5.27,OVA,Manga
11679,Chainsaw Maid,5.27,ONA,Unknown
9506,Prism Magical: Prism Generations!,5.27,OVA,Unknown
2262,Sin: The Movie,5.27,OVA,Game
681,Tenbatsu Angel Rabbie☆,5.27,OVA,Unknown
1031,Hanare Toride no Yonna,5.26,Movie,Original
1287,Odin: Koushi Hansen Starlight,5.26,Movie,Unknown
2967,Saishuu Shiken Kujira,5.26,ONA,Visualnovel
2181,TANK S.W.A.T. 01,5.26,OVA,Unknown
6281,Asylum Session,5.25,Movie,Original
10710,Houkago no Pleiades: Manner Movie,5.25,Movie,Original
2730,1+2=Paradise,5.24,OVA,Manga
675,One: Kagayaku Kisetsu e,5.24,OVA,Visualnovel
1560,Choujin Gakuen Gowcaizer: The Voltage Fighters,5.23,OVA,Original
10003,Kago Shintarou Anime Sakuhin Shuu,5.23,OVA,Original
13669,Owari no Chronicle,5.22,Special,Lightnovel
994,Sin in the Rain,5.22,OVA,Unknown
28761,00:08,5.21,Movie,Unknown
725,First Kiss Monogatari,5.21,OVA,Visualnovel
10406,Spelunker Sensei,5.18,OVA,4-komamanga
8064,Ashiaraiyashiki no Juunin-tachi.,5.17,OVA,Manga
8952,Nougyou Musume!,5.17,Special,Unknown
11867,Cipher,5.15,OVA,Manga
4389,Amada Anime Series: Super Mario Brothers,5.15,OVA,Unknown
17659,Gunnm 3D Special,5.15,OVA,Unknown
10859,Sorette♡Dakara ne!,5.15,ONA,Original
1286,MD Geist II: Death Force,5.14,OVA,Unknown
2057,Ojousama Sousamou,5.14,OVA,Original
765,Chou Henshin Cosprayers Specials,5.13,Special,Unknown
600,Legend of Duo,5.13,TV,Original
13835,Marimo no Hana: Saikyou Butouha Shougakusei Densetsu,5.12,OVA,Manga
752,Osakana wa Ami no Naka,5.12,OVA,Manga
112,Chou Henshin Cosprayers,5.11,TV,Original
1621,Haru no Ashioto The Movie: Ourin Dakkan,5.11,Movie,Visualnovel
1626,Genma Taisen,5.1,Movie,Unknown
21335,Double Circle,5.08,ONA,Original
23023,Peaceful Times (F02) Petit Film,5.07,Music,Unknown
5622,The Chocolate Panic Picture Show,5.08,OVA,Manga
5656,PuriGorota: Uchuu no Yuujou Daibouken,5.07,OVA,Unknown
20707,&quot;0&quot;,5.06,Music,Unknown
7025,Kiseichuu no Ichiya,5.06,Movie,Original
33541,Bishoujo Yuugi Unit Crane Game Girls Galaxy,5.04,TV,Original
29865,BAR Kiraware Yasai,5.04,TV,4-komamanga
18149,Ishida to Asakura Special,5.04,Special,Unknown
5158,Noisy Birth,5.04,Music,Unknown
6346,Cherry no Manma,5.01,OVA,Manga
1529,De:vadasy,5.01,OVA,Unknown
3112,Papillon Rose,5.0,TV,Unknown
9744,Issho ni Training Ofuro: Bathtime with Hinako &amp; Hiyoko,4.98,OVA,Unknown
4966,Jigazou,4.97,Movie,Unknown
1995,Lingerie Senshi Papillon Rose,4.97,OVA,Unknown
5715,Arcade Gamer Fubuki Extra,4.96,Special,Original
33119,Tokyogurashi!,4.97,ONA,Visualnovel
29941,Million Doll,4.95,TV,Webmanga
1451,Shuranosuke Zanmaken: Shikamamon no Otoko,4.95,Movie,Unknown
19297,Ketsuekigata-kun! Featuring Yuri &amp; Nasuno,4.93,Special,Webmanga
30705,Makura no Danshi,4.93,TV,Original
31139,Ame-iro Cocoa: Rainy Color e Youkoso!,4.92,TV,Digitalmanga
6392,Issho ni Training: Training with Hinako,4.92,OVA,Original
1009,Battle Spirits: Ryuuko no Ken,4.89,OVA,Cardgame
